event_id,parsed_rows,api_participants,abs_diff_rows,parser_status,table_count,page_chars,weight_displayed,used_table_class
1268,14,41,27,row_count_undercount,1,1368,52.92,table table-striped past_event_rating
1269,680,124,556,ok,1,23908,23.68,table table-striped past_event_rating
127,16,21,5,row_count_undercount,1,1299,30.0,table table-striped past_event_rating
1270,0,18,18,empty_scoreboard,0,550,0.0,
1272,0,0,,empty_scoreboard,0,698,0.0,
1277,69,0,,ok,1,4006,0.0,table table-striped past_event_rating
1279,139,92,47,ok,1,5366,24.55,table table-striped past_event_rating
128,0,29,29,empty_scoreboard,0,834,0.0,
1281,3409,228,3181,ok,1,93426,24.98,table table-striped past_event_rating
1282,660,134,526,ok,1,18890,23.56,table table-striped past_event_rating
1284,645,119,526,ok,1,18633,24.23,table table-striped past_event_rating
1285,509,137,372,ok,1,15146,21.85,table table-striped past_event_rating
1286,400,56,344,ok,1,12512,20.79,table table-striped past_event_rating
1287,0,36,36,empty_scoreboard,0,1136,0.0,
1288,484,56,428,ok,1,14218,24.02,table table-striped past_event_rating
129,401,128,273,ok,1,11237,90.0,table table-striped past_event_rating
1292,77,77,0,ok,1,3347,100.0,table table-striped past_event_rating
1293,112,57,55,ok,1,4891,23.5,table table-striped past_event_rating
1295,289,0,,ok,1,8112,22.5,table table-striped past_event_rating
1296,417,72,345,ok,1,12192,24.5,table table-striped past_event_rating
1297,28,43,15,row_count_undercount,1,1545,25.0,table table-striped past_event_rating
1298,324,64,260,ok,1,9915,22.62,table table-striped past_event_rating
1299,239,0,,ok,1,7180,23.94,table table-striped past_event_rating
13,106,101,5,ok,1,3211,80.0,table table-striped past_event_rating
130,404,125,279,ok,1,11186,60.0,table table-striped past_event_rating
1300,18,0,,ok,1,2026,24.33,table table-striped past_event_rating
1301,105,152,47,row_count_undercount,1,4018,24.83,table table-striped past_event_rating
1302,0,49,49,empty_scoreboard,0,545,24.31,
1303,160,34,126,ok,1,4868,23.36,table table-striped past_event_rating
1304,2705,301,2404,ok,1,80596,24.33,table table-striped past_event_rating
1305,296,97,199,ok,1,10115,33.97,table table-striped past_event_rating
1306,480,72,408,ok,1,13539,33.32,table table-striped past_event_rating
1307,477,106,371,ok,1,13631,24.31,table table-striped past_event_rating
1308,268,64,204,ok,1,8064,41.71,table table-striped past_event_rating
1309,720,125,595,ok,1,20780,26.81,table table-striped past_event_rating
131,126,14,112,ok,1,4423,10.0,table table-striped past_event_rating
1310,0,66,66,empty_scoreboard,0,1122,0.0,
1311,49,13,36,ok,1,2614,0.0,table table-striped past_event_rating
1312,1592,334,1258,ok,1,46262,24.44,table table-striped past_event_rating
1313,523,345,178,ok,1,15598,36.35,table table-striped past_event_rating
1314,343,27,316,ok,1,11923,0.0,table table-striped past_event_rating
1315,1214,230,984,ok,1,34216,20.54,table table-striped past_event_rating
1316,53,39,14,ok,1,2592,24.4,table table-striped past_event_rating
1317,232,54,178,ok,1,8004,24.14,table table-striped past_event_rating
1318,379,396,17,ok,1,13093,99.22,table table-striped past_event_rating
1319,595,279,316,ok,1,17095,23.29,table table-striped past_event_rating
132,283,93,190,ok,1,8821,70.0,table table-striped past_event_rating
1320,344,46,298,ok,1,10101,24.92,table table-striped past_event_rating
1321,49,61,12,row_count_undercount,1,2380,20.75,table table-striped past_event_rating
1323,75,15,60,ok,1,3170,25.0,table table-striped past_event_rating
