country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
CA,2025,27,69,8,0,9,22,282,418.5,99
CA,2026,9,20,4,1,2,3,382.0,392.6,22
CG,2011,1,1,0,1,1,1,6,6,1
CG,2012,2,6,0,2,6,7,15,23.4,7
CG,2013,1,4,0,1,4,4,19.5,16.8,4
CG,2014,2,3,0,1,2,2,41,272,3
CG,2015,1,15,0,4,12,15,15,26.5,15
CG,2016,2,26,0,11,22,24,18,47.9,27
CG,2017,2,26,0,5,18,19,25.0,196.1,28
CG,2018,2,15,0,9,13,14,9,79.7,15
CG,2019,2,15,0,0,7,10,56.0,208.1,16
CG,2020,3,29,0,3,15,17,61,223.3,31
CG,2021,2,15,0,0,8,9,44,156.4,15
CG,2022,2,12,0,2,3,3,393.0,505.8,12
CG,2023,3,17,0,2,3,5,321,497.5,17
CG,2024,3,23,0,2,5,6,203.0,353.6,24
CG,2025,2,14,0,0,2,3,434.0,512,14
CG,2026,2,6,0,0,1,1,430.0,378,6
CH,2011,1,3,0,0,1,2,91,105,3
CH,2012,5,11,0,0,10,13,48.5,98.6,18
CH,2013,8,19,0,6,16,22,61,110.7,37
CH,2014,9,22,0,2,9,16,115,187.5,43
CH,2015,17,31,0,1,23,35,91.5,140.6,66
CH,2016,19,44,0,7,34,52,81,153.8,95
CH,2017,26,56,1,5,31,66,127.5,216.6,140
CH,2018,32,73,4,8,49,83,123.0,198.9,190
CH,2019,29,81,4,13,52,90,93.0,178.8,174
CH,2020,20,66,2,12,31,46,157.0,263.4,114
CH,2021,15,62,2,29,49,60,23,160.9,83
CH,2022,20,85,2,45,75,89,20.0,96.3,116
CH,2023,17,77,2,30,59,75,36.5,124.1,108
CH,2024,18,71,2,30,57,63,36.5,180.1,98
CH,2025,15,68,2,22,50,54,24.0,151.9,80
CH,2026,10,9,2,1,7,10,61,194.7,17
CL,2017,1,1,0,0,0,0,137,137,1
CL,2018,2,2,1,0,0,1,198.5,198.5,2
CL,2019,1,1,0,0,0,0,718,718,1
CL,2022,2,2,1,0,0,1,134.5,134.5,2
CL,2023,2,5,1,0,2,3,52,85.2,5
CL,2024,1,1,1,0,0,1,80,80,1
CN,2011,2,2,1,0,1,1,103.0,103,2
CN,2012,3,7,0,1,5,7,28.5,48.5,8
CN,2013,11,26,3,12,27,39,51.0,68.9,54
CN,2014,30,28,12,16,30,48,127.5,198.3,122
CN,2015,57,43,28,40,99,138,106,163.8,281
CN,2016,76,49,37,28,93,138,154,212.8,355
CN,2017,114,75,46,42,132,209,159,233.5,593
CN,2018,125,86,49,65,227,374,119.0,217.8,840
CN,2019,118,100,38,66,239,356,118,206.0,791
CN,2020,122,129,40,76,239,339,122.5,247.2,734
CN,2021,103,112,37,84,249,352,70,199.7,595
CN,2022,89,132,33,84,249,339,60.0,157.5,534
CN,2023,73,170,30,116,259,364,75,188.9,645
CN,2024,79,169,30,103,258,345,91.5,206.0,662
CN,2025,75,142,34,115,269,345,74.0,202.4,612
CN,2026,56,41,24,14,48,69,115.5,206.3,154
CO,2011,1,1,0,0,0,0,262,262,1
CO,2012,2,5,0,0,0,2,115.5,133.5,6
CO,2013,2,7,0,0,0,3,168.0,179.1,8
CO,2014,1,3,0,0,0,0,835,732.7,3
CO,2015,3,7,0,0,0,0,330,324,9
