country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
BR,2011,1,1,0,0,0,0,158,158,1
BR,2012,2,4,1,0,0,0,169.0,170.2,4
BR,2013,3,13,0,0,1,4,149,188.3,15
BR,2014,5,10,0,0,2,5,150,248.1,15
BR,2015,10,28,2,1,10,14,156.5,231.7,46
BR,2016,26,41,6,2,21,41,189.5,233.0,136
BR,2017,26,71,6,10,58,103,142,225.0,287
BR,2018,26,68,4,17,61,99,88.0,186.5,186
BR,2019,19,78,6,13,48,77,176.0,233.7,214
BR,2020,22,79,4,11,39,63,188.5,247.4,184
BR,2021,18,76,5,10,36,55,130,290.9,129
BR,2022,9,59,2,1,26,43,77,204.7,75
BR,2023,11,58,3,2,27,44,72,169.2,73
BR,2024,13,57,4,0,19,37,130.5,217.2,90
BR,2025,12,74,2,5,40,64,86.0,191.3,116
BR,2026,4,31,3,1,3,9,210,253.3,41
BS,2018,1,1,0,0,0,1,81,81,1
BS,2019,1,3,0,0,0,1,111,219.7,3
BS,2021,1,6,0,0,0,0,534.0,919.3,6
BS,2022,1,2,0,0,0,0,1686.5,1686.5,2
BS,2026,1,1,0,0,0,0,293,293,1
BY,2012,1,2,0,0,1,2,45.0,45,2
BY,2013,1,6,0,0,2,3,106.0,126.3,6
BY,2014,2,16,0,0,5,10,86.0,114.8,18
BY,2015,3,9,1,0,1,2,159.0,256.3,10
BY,2016,3,7,2,0,1,1,217.0,424.6,8
BY,2017,4,9,2,0,1,1,368,555.8,9
BY,2018,7,39,4,1,5,7,243.5,290.8,44
BY,2019,6,55,3,0,6,15,244,326.4,59
BY,2020,4,40,1,0,4,5,403.0,451.3,42
BY,2021,3,16,1,0,0,2,394.0,538.2,16
BY,2022,3,4,1,0,0,1,226.0,194.2,4
BY,2023,3,5,2,0,0,1,315,329.6,5
BY,2024,4,15,1,0,2,3,309,491.1,15
BY,2025,3,4,1,0,0,0,442.5,433,4
BY,2026,1,1,0,0,0,0,238,238,1
BZ,2013,1,5,0,0,0,2,185,284.8,5
BZ,2014,1,1,0,0,0,0,860,860,1
BZ,2015,1,2,0,0,0,0,118.0,118,2
BZ,2016,1,1,0,0,0,0,245,245,1
CA,2011,2,4,0,2,4,5,37,35.2,5
CA,2012,7,11,0,5,12,15,32,54.6,19
CA,2013,13,15,1,7,13,20,59.5,123.3,28
CA,2014,18,23,5,7,22,27,102.5,169.5,54
CA,2015,28,39,11,8,20,37,183,242.3,119
CA,2016,32,40,17,4,22,34,192,253.2,131
CA,2017,31,64,13,7,27,59,154.5,223.7,168
CA,2018,47,75,25,7,49,88,139,227.7,203
CA,2019,34,71,11,5,27,52,158,248.4,151
CA,2020,33,63,11,5,18,35,212.0,320.1,116
CA,2021,24,54,10,4,15,29,152.5,283.5,78
CA,2022,25,50,8,4,13,19,232.0,352.9,70
CA,2023,25,57,10,2,13,25,217,287.7,75
CA,2024,26,62,7,1,9,20,285,367.7,85
