country,year,active_teams,new_teams_first_seen,top100_teams
CH,2020,48,16,2
CH,2021,53,20,2
CH,2022,67,26,4
CH,2023,68,16,3
CH,2024,78,27,2
CH,2025,68,23,1
CH,2026,40,7,0
CI,2019,1,1,0
CI,2020,1,1,0
CI,2021,1,1,0
CI,2023,6,6,0
CI,2024,2,0,0
CI,2025,3,2,0
CI,2026,1,0,0
CK,2020,1,1,0
CK,2021,1,0,0
CK,2022,1,0,0
CK,2024,2,1,0
CK,2026,1,1,0
CL,2016,2,2,0
CL,2017,3,2,0
CL,2018,4,3,0
CL,2019,2,1,0
CL,2020,6,6,0
CL,2021,5,3,0
CL,2022,9,2,0
CL,2023,18,9,0
CL,2024,10,5,0
CL,2025,5,2,0
CL,2026,2,0,0
CM,2020,1,1,0
CM,2021,2,1,0
CM,2022,2,1,0
CM,2023,1,1,0
CM,2024,3,1,0
CM,2025,1,1,0
CM,2026,1,1,0
CN,2011,2,2,0
CN,2012,3,2,1
CN,2013,18,16,1
CN,2014,40,29,2
CN,2015,82,53,5
CN,2016,108,55,4
CN,2017,147,79,6
CN,2018,187,96,10
CN,2019,229,98,9
CN,2020,284,122,7
CN,2021,296,123,12
CN,2022,271,88,10
CN,2023,246,70,6
CN,2024,285,81,6
CN,2025,266,76,7
CN,2026,156,32,2
CO,2011,1,1,0
CO,2012,2,2,0
CO,2013,2,0,0
CO,2014,1,0,0
CO,2015,4,3,0
CO,2016,6,2,0
CO,2017,7,3,0
CO,2018,7,4,0
CO,2019,8,4,0
CO,2020,10,6,0
CO,2021,15,9,0
CO,2022,17,8,0
CO,2023,14,8,0
CO,2024,18,7,0
CO,2025,23,9,0
CO,2026,8,3,2
CR,2019,1,1,0
CR,2020,2,2,0
CR,2021,2,0,0
CR,2022,1,0,0
CR,2023,3,2,0
CR,2025,2,1,0
CR,2026,1,1,0
CU,2018,1,1,0
CU,2020,2,2,0
CU,2021,3,1,0
CU,2022,3,1,0
CU,2023,4,1,0
CU,2024,10,8,0
CU,2025,6,1,0
CU,2026,3,0,0
CV,2012,1,1,0
CV,2013,1,0,0
CV,2016,1,1,0
CV,2018,1,0,0
CV,2019,1,1,0
CV,2020,1,0,0
CV,2022,1,1,0
CV,2024,1,1,0
CW,2025,1,1,0
CX,2013,1,1,0
CX,2014,1,0,1
CX,2015,1,0,0
CX,2016,1,1,0
CX,2017,1,0,0
CX,2018,1,0,0
CX,2020,1,0,0
CX,2021,2,2,0
CX,2022,2,1,0
CX,2023,1,0,0
CX,2024,3,2,0
CX,2025,2,0,0
CY,2016,1,1,0
CY,2017,1,1,0
CY,2018,3,2,0
CY,2019,4,2,0
CY,2020,7,4,0
CY,2021,4,1,0
CY,2022,4,2,0
CY,2023,6,3,0
CY,2024,10,5,0
CY,2025,8,2,0
CY,2026,1,0,0
CZ,2013,1,1,0
CZ,2015,2,1,0
CZ,2017,10,9,0
CZ,2018,13,7,0
CZ,2019,15,7,0
CZ,2020,29,16,0
CZ,2021,28,16,0
CZ,2022,20,9,0
CZ,2023,27,10,1
CZ,2024,25,12,0
CZ,2025,25,10,0
CZ,2026,5,0,0
DE,2011,13,13,9
DE,2012,19,7,9
DE,2013,23,7,9
DE,2014,32,17,6
DE,2015,54,28,7
DE,2016,53,16,8
DE,2017,73,25,5
DE,2018,89,42,6
DE,2019,132,68,6
DE,2020,187,101,6
DE,2021,226,123,6
DE,2022,204,87,9
DE,2023,215,81,8
DE,2024,203,69,9
DE,2025,171,44,8
DE,2026,72,11,1
DJ,2025,2,2,0
DK,2011,3,3,3
DK,2012,2,0,2
DK,2013,3,1,2
DK,2014,6,3,2
DK,2015,5,3,1
DK,2016,9,5,1
DK,2017,13,5,1
DK,2018,17,9,0
DK,2019,31,18,0
DK,2020,27,14,1
DK,2021,36,20,1
DK,2022,41,18,1
DK,2023,43,14,2
DK,2024,43,14,1
DK,2025,32,7,1
DK,2026,17,3,1
DM,2022,1,1,0
DM,2023,1,0,0
DM,2024,1,0,0
DM,2025,2,1,0
DM,2026,1,0,0
DO,2018,1,1,0
DO,2019,3,2,0
DO,2022,1,0,0
DO,2023,1,1,0
DO,2024,1,1,0
DO,2025,3,3,0
DO,2026,1,0,0
DZ,2011,2,2,0
DZ,2012,2,1,0
DZ,2013,3,1,0
DZ,2014,5,3,0
DZ,2015,6,2,0
DZ,2016,10,6,0
DZ,2017,14,9,0
DZ,2018,26,15,0
DZ,2019,32,16,0
DZ,2020,37,17,0
DZ,2021,26,8,0
DZ,2022,42,22,0
DZ,2023,44,16,0
DZ,2024,49,21,1
DZ,2025,83,54,1
DZ,2026,44,12,2
EC,2017,1,1,0
EC,2018,3,2,0
EC,2019,4,2,0
EC,2020,9,6,0
EC,2021,9,5,0
EC,2022,4,0,0
EC,2023,2,0,0
EC,2024,4,2,0
EC,2025,4,3,0
EE,2016,1,1,0
EE,2017,1,0,0
EE,2018,5,5,0
EE,2019,4,1,0
EE,2020,8,5,0
EE,2021,11,8,0
EE,2022,12,7,0
EE,2023,11,5,0
EE,2024,11,6,0
EE,2025,10,3,0
EE,2026,2,0,0
EG,2012,4,4,0
EG,2013,1,0,0
EG,2014,1,0,0
EG,2015,6,4,0
EG,2016,10,5,0
EG,2017,11,8,0
EG,2018,25,19,0
EG,2019,33,21,0
EG,2020,52,33,1
EG,2021,48,21,0
EG,2022,50,28,0
EG,2023,59,31,1
EG,2024,55,23,0
EG,2025,115,83,1
EG,2026,75,38,3
EH,2019,1,1,0
EH,2020,1,0,0
EH,2021,1,0,0
ER,2025,1,1,0
ER,2026,1,0,0
ES,2011,3,3,1
ES,2012,6,3,2
ES,2013,13,7,1
ES,2014,19,9,1
ES,2015,22,10,1
ES,2016,25,14,2
ES,2017,40,20,1
ES,2018,32,14,1
ES,2019,56,31,1
ES,2020,69,44,1
ES,2021,70,29,1
ES,2022,63,29,2
ES,2023,67,33,0
ES,2024,70,26,0
ES,2025,57,23,0
ES,2026,18,6,0
ET,2019,3,3,0
ET,2020,1,0,0
ET,2021,1,0,0
ET,2022,2,2,0
ET,2023,2,1,0
ET,2024,2,1,0
ET,2025,1,1,0
FI,2014,1,1,0
FI,2015,2,2,0
FI,2016,5,4,0
FI,2017,10,6,0
FI,2018,6,3,0
FI,2019,14,10,0
FI,2020,12,7,0
FI,2021,24,15,0
FI,2022,22,8,0
FI,2023,20,9,0
FI,2024,16,5,0
FI,2025,18,7,0
FI,2026,8,1,1
FJ,2017,1,1,0
FJ,2026,1,1,0
FK,2025,1,1,0
FM,2018,1,1,0
FO,2023,1,1,0
FO,2025,1,0,0
FR,2011,8,8,4
FR,2012,14,6,7
FR,2013,31,21,6
FR,2014,46,23,5
FR,2015,71,37,2
FR,2016,107,64,2
FR,2017,134,69,5
FR,2018,167,80,3
FR,2019,168,82,2
FR,2020,214,120,4
FR,2021,284,153,3
FR,2022,312,156,2
FR,2023,333,154,2
FR,2024,320,148,2
FR,2025,301,115,1
FR,2026,146,50,1
GA,2016,1,1,0
GB,2011,1,1,0
GB,2012,4,3,1
GB,2013,10,6,1
GB,2014,12,7,0
GB,2015,26,15,2
GB,2016,44,27,1
GB,2017,66,33,1
GB,2018,70,35,2
GB,2019,88,48,1
GB,2020,169,111,2
GB,2021,138,65,1
GB,2022,122,44,1
GB,2023,119,42,0
GB,2024,107,34,0
GB,2025,104,37,0
GB,2026,40,8,0
GD,2014,1,1,0
GD,2015,1,0,0
GD,2016,1,0,0
GD,2017,1,0,0
GD,2018,1,0,0
GD,2019,1,0,0
GD,2020,1,0,0
GD,2021,1,0,0
GD,2022,1,0,0
GD,2023,1,0,0
GD,2024,1,0,0
GD,2025,1,0,0
GD,2026,1,0,0
GE,2014,1,1,0
GE,2015,1,0,0
GE,2017,4,3,0
GE,2018,2,1,0
GE,2019,3,1,0
GE,2020,1,0,0
GE,2021,2,1,0
GE,2022,2,0,0
GE,2023,5,4,0
GE,2024,3,1,0
GE,2025,6,4,0
GE,2026,2,1,0
GF,2022,1,1,0
GF,2024,1,1,0
GG,2017,1,1,0
GG,2018,1,0,0
GG,2020,2,1,0
GG,2021,2,0,0
GG,2022,1,0,0
GH,2020,3,3,0
GH,2021,2,2,0
GH,2022,3,1,0
GH,2023,2,2,0
GH,2024,2,1,0
GI,2019,1,1,0
GI,2020,1,0,0
GL,2019,1,1,0
GL,2020,1,0,0
GL,2023,1,1,0
GL,2024,1,0,0
GL,2025,1,1,0
GN,2022,2,2,0
GN,2023,3,1,0
GN,2024,3,2,0
GN,2025,1,1,0
GQ,2018,1,1,0
GQ,2019,1,0,0
GQ,2020,1,0,0
GQ,2022,1,0,0
GQ,2023,1,0,0
GQ,2024,1,0,0
GQ,2025,1,0,0
GQ,2026,1,0,0
GR,2014,2,2,0
GR,2015,3,2,0
GR,2016,5,3,0
GR,2017,5,3,0
GR,2018,14,11,1
GR,2019,19,12,0
GR,2020,30,15,1
GR,2021,32,18,1
GR,2022,31,14,1
