team_id,team_name,country,academic
1429,6l0ry,TW,0
1434,RooterX,RU,0
1435,ExPloit,,0
1437,United,,0
1438,ENOFLAG,DE,1
1443,MiSec,US,0
1444,fangAflaggaN,SE,0
1445,Yozik,RU,0
1447,49th Security Division,US,1
1450,DBX,,0
1452,Sneakers,,0
1458,Drs,,0
1463,Mona,,0
1466,WTF,,0
1472,outsider,,0
1476,n00b5,,0
1480,rainbowsandpwnies,US,0
1482,decrepitgoats,,0
1484,wildHatz,US,1
1491,Amateur Rocket Scientists,,0
1492,lurker,,0
1494,BekasAhliSentinel,MY,1
1499,Dusk,,0
1500,Cm0s,,0
1501,The DHARMA Initiative,ES,0
1510,RISC,AU,1
1515,ttt,,0
1516,Drop Table,,0
1519,uNk,,0
1523,Matrix,HM,1
1526,001,,0
1538,k2z,,0
1553,newbie,IN,0
1571,jaguar,,0
1577,InKryptz,IN,0
1591,ff,,0
1598,Yahubetcha,US,0
1599,ISUSEC,,0
1602,null pointer,,0
1603,Delta Force,,0
1607,Kappa,RU,1
1610,A-Team,,0
1611,predators,IN,0
1612,Force,,0
1614,umu,,0
1617,n0thing,,0
1621,Lin,,0
1627,Forever Alone,,0
1628,loc,,0
1630,5154C,,0
1633,Shine,,0
1644,robbje,,0
1645,FuzzyNop,,0
1653,meatball,,0
1655,ppl,,0
1678,PPP_CMU,TW,0
1679,PLUS,KR,1
1681,Unemployed,,0
1684,Stratum0,DE,0
1686,BeginBazen,NL,0
1688,BUILDS,US,0
1691,delimitry,,0
1703,ucsd,,0
1704,b0t,,0
1707,moot,EG,1
1708,Security First,KR,1
1709,Entropy,,0
1710,backdoor bandits,,0
1712,Team Discovery Channel,,0
1718,SanityHero,,0
1719,0team,,0
1722,Myteam,,0
1723,linus,,0
1728,fail,,0
1729,zteam,,0
1732,alf,,0
1733,private,,0
1734,sam,,0
1735,prostouser,,0
1736,society,,0
1737,RUI,JP,0
1739,newteam,RU,0
1742,n0ne,,0
1748,teemo,,0
1749,49SD,,0
1752,c00kies@venice,IT,0
1781,xbios,IN,0
1784,rs,,0
1786,reb00t,,0
1787,sec0d,FR,0
1788,banana,,0
1791,user,,0
1794,PwnState,,0
1798,bigboss,,0
1802,team_red,,0
1809,guineapigs,,0
1810,TheLosers,,0
1811,Ozymandias,,0
1814,danny,,0
1815,w3stormz,FR,0
1816,pwnies,DK,0
1821,HiC,,0
1825,Doraemon,SG,0
1827,avAtors,,0
