team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
2506,11,2012,2022,11,6,1,5
2508,33,2012,2025,14,10,1,5
2511,141,2012,2025,14,2,6,38
2518,21,2012,2015,4,30,0,2
2519,24,2012,2025,14,41,0,1
2524,255,2012,2026,15,1,10,44
2529,37,2012,2022,11,35,0,3
2534,7,2011,2015,5,38,0,2
2538,78,2012,2021,10,3,13,51
2540,61,2012,2018,7,2,8,29
2561,19,2012,2019,8,40,0,2
2597,41,2012,2019,8,22,0,4
2600,53,2012,2025,14,3,5,32
2601,24,2012,2015,4,21,0,4
2616,16,2012,2025,14,9,1,2
2657,5,2012,2023,12,209,0,0
2676,28,2012,2015,4,16,0,4
2683,26,2012,2024,13,43,0,2
2749,44,2012,2021,10,10,1,5
2754,119,2012,2018,7,13,0,13
2762,10,2012,2017,6,170,0,0
2774,3,2012,2015,4,406,0,0
2786,92,2012,2026,15,36,0,4
2864,18,2012,2026,15,4,1,2
2867,5,2012,2018,7,77,0,0
2871,32,2012,2024,13,31,0,2
2927,15,2012,2026,15,32,0,5
2943,3,2012,2020,9,439,0,0
2980,100,2011,2026,16,2,8,28
2988,9,2012,2021,10,15,0,1
2992,8,2012,2021,10,28,0,3
3008,19,2012,2018,7,45,0,2
3009,27,2012,2018,7,2,2,14
3012,9,2012,2016,5,108,0,0
3039,75,2012,2026,15,17,0,12
3048,10,2012,2015,4,147,0,0
3050,49,2012,2025,14,2,3,26
3059,17,2012,2014,3,12,0,10
3068,16,2012,2025,14,113,0,0
3091,3,2012,2023,12,2,1,3
3097,8,2012,2025,14,2,2,2
3109,7,2012,2024,13,29,0,1
3118,23,2012,2025,14,45,0,1
3128,5,2015,2020,6,65,0,0
3133,89,2012,2026,15,18,0,7
3134,13,2012,2026,15,28,0,1
3135,264,2012,2026,15,1,18,85
3136,7,2012,2017,6,8,1,3
3139,69,2012,2025,14,11,0,21
3184,92,2012,2019,8,3,6,36
3186,2,2013,2017,5,45,0,1
3192,108,2013,2021,9,4,8,46
3198,61,2012,2018,7,10,1,10
3199,37,2012,2014,3,10,1,22
3200,42,2012,2026,15,4,2,6
3206,31,2012,2026,15,1,8,9
3208,352,2011,2025,15,1,91,212
3212,24,2012,2017,6,28,0,4
3213,7,2012,2017,6,28,0,2
3220,28,2012,2022,11,41,0,3
3239,38,2012,2026,15,25,0,4
3254,4,2012,2020,9,111,0,0
3257,98,2012,2017,6,1,30,70
3258,5,2013,2015,3,52,0,0
3269,59,2018,2026,9,32,0,1
3270,8,2013,2016,4,16,0,1
3271,45,2012,2026,15,6,1,6
3276,11,2012,2022,11,27,0,3
3277,47,2012,2025,14,1,1,16
3318,15,2013,2024,12,82,0,0
3320,48,2015,2026,12,28,0,3
3322,20,2015,2025,11,24,0,1
3323,43,2013,2025,13,7,1,10
3324,9,2019,2025,7,91,0,0
3325,18,2013,2025,13,1,2,4
3329,295,2013,2026,14,1,157,258
3335,44,2013,2016,4,1,9,33
3336,20,2013,2026,14,18,0,2
3340,59,2013,2020,8,1,10,32
